generation, fitness, rule
103, 5.300100, 265425353130350532006463151243614135106012146466200126113266600303462336504523133416550146320406211514556625063636223215461415243465026365455345215502016105054521440020664241325406454455543520224614202461200456451056406015521640163665463036034
104, 5.600100, 265425353130350530005563101244616521466012102166200126110266600303461532104123133416230146020401211214236625062636223215511625245265046366435315216202112105046556410322661241325256451455543512224014503431226456451056406005521640163066163036034
105, 5.300100, 265234200130115536120406633044616061106603546460250126113266600203461536104123133416230146020401211214231625063636223215511625245265026365451345205602016105054521440020660261425402454455543522224614202461220456451353106005501635163665463036030
106, 5.400100, 265425353130350536020406633044616061106603546460250126113266600303062366204123133414550143120436211210550525062631223312412625245465056364455345205602016105054521440020664241425402454455563522624614503421526453451056106605522046163566660036534
107, 5.600100, 265434200150116536020406633044616061106603546460250126113266650203461536104124133414530146020406211210550525062636223215461625245265056665455545205602016105054521440020664221325406454455543620224614202461200456451056406015521640163665440036034
108, 5.300100, 265424200110116531025463340214016521466605546360251126413263620303461366204023133414530146020100211214236625062636223215411625245465026365406355265602012105054521440020660041425502454455523512224214503421526453451353106005501635163665463036030
109, 5.300100, 265024200130116531025463104044616061104603546460260126113266600303061366204123133416230146020401211214236625062636223215411625245465026365455344205602013105054511440040660261425402454455543522224614202461200456451056406015521640163665440036034
110, 5.100100, 265424260610312133005463340214616521466605546361200126413266603303461366204123133506230146020401211214236625062631223312413625245465054365455345205632016105054521440020664241325406454455543512224214503421526453451056106005521640163635163036044
111, 5.200100, 165424260310312133005463101244616521466012102166000126110266600303461532105123133416230146020436211210550525062636223215411625245265026365455345205602014105054511440020664241425402454455563522624664503421526453451056106605522046163665463036030
112, 5.200100, 265424260610312133005463340214616521466605546361250123113266600303061366204123133416230146020401211214556620063636223215461615243465026365451645205602016103054321442040660261425402454455543522224614202461220456451056106005521640163635163036044
113, 5.200100, 265434200150136536020406633044616061106603546460250126113266600303464636104123333416130346020401211214236605062636223215511625245265056065455345215502016105055521440020664261325406454455543620224614202461200456451056406605522046163665463036030
114, 5.200100, 265434200150136536020406633044616061106603516460250126113266600303464636104123133416230146020416211210550620063636223215461615243465026365451645205602013105056511440020664241425402454455563526624664503421526453451056106605522046163566663036534
115, 5.600100, 165422260310312131025463340214616521412002462166200124110266603303461532104623133416230146050404211214236603062636223115511625245265056065455345005602016103054321442040660261421402454455543522224614202461220456451056106005521640163635163036044
116, 5.300100, 265424260610312134005463340214616521466605546561200126115266600303461532105123133416200146020436211210550525062636223255413625245265056665455545505602016405054521440010660261424402454455543522224614202461220450451356106005526640163665463036634
117, 5.400100, 165424201150116536020006630214616204666605146460230123313266600303464536104124133414530146020406211610550625065631223312413625245465054365455345205602016105054522540020664241325206451455543512224214503421526453451056106005521640163635113036634
118, 5.200100, 265424260610312134005463340014616521466605546261200126113266603303061366204123133416230146020401231214216605062636223215511625245265056065455345215502016105054522540020664241325406454455543516224114503431226456451343106005501635163665460036534
119, 5.600100, 265423260310312133005406630214516521466605546361200126113266603303461366304623434506230146060436201214236625062636223255413625245465054335465345205602016105054522540020664241325406454455543516224114503431226456451343106005501635163666460036534
120, 5.500100, 265424260610312134405463101244616521466605546361200126013266603303461366204623133506230146020101211214236625062636163215411625245465054365455344205102013105054511040040660261225402454455543512224114503431226456451056406605522046163665463036034
121, 5.800100, 265423260310312133005406630214516521466605546361200126113266600303061366204123133416230146020401211214236625062633123215411625245465065360452344205102013105054511040040660261225402454455543512224114503431226456451056406605522035163665463036534
122, 5.400100, 265424260610312134205463101244616264466605146460250123313266600303461536104124133414530146020401231214216605062636223215511625245265056065455345215502016105055521440020664261325406454455543421024614202431200456451056006015526640163635465036634
123, 5.400100, 265424200360312531035465340214616523466013102161200126113266603303461366204623133506230146040401211214236625062633123215411625245465026365451645005602016100054321642040660261265406454455543421024614202461200456451056006015526640163635465036634
124, 5.300100, 265424260360116536020006101244516521466012105166000116110266600303461532105123133016230146020402211214236525062536223215461615243465026365451645005602016100054321442040660261425442454455543522224614202461220456451056106005521640163265463036534
125, 5.400100, 265424260310312133005406630214616521466212105166000126110266600303411366204123133416200146020436211250550525062656223255413625245265026365452341205602016103054521440020664261325402454455543522224614202461220456451353100005525340163066163036634
126, 5.300100, 265420260310312133005406643214616521412000462166200126110266300303065366204123133016230146010501211214556620063631223215413622245365026325445345203502016135054521442040660261425402454455543522224614202461220450451356106005526641163665463036634
127, 5.200100, 265420260310312133005406643214616521412002462166200126110236600303464536104124133414530146020434211614236625065631223312413625205465025365455344203502066135054521440020660261424402454455543512224114503431226456451055406005521640163635463036633
128, 5.200100, 265423263610312134505463101244616521466012505166000126110266600303065366204123133435230146020401211214236655062633123215411625245465025365452344205602016103654321442010664261325402454455543522226614202461220456451343106605522056163666463336030
129, 5.200100, 265420260310312133005406643214616521412002462166200126110266600303065366204123133416230146020401211214236625062633123215411625245465026365431645215502016105055521540020660261425402454455543515220614202461220456451055402005521640163636463036633
130, 5.300100, 265423260610312521035460340244516521466012105166000126110266600303065366204123133416230146520401211214236625362633123215411625245465025365455344253502066135054521440020460261424402454455543512224114503431226456451055406005521640163632463036633
131, 6.000100, 265423260310312133005406630214616523466012102161200126113266603303461366204623133436230146020401211214256525062536223215461615243465026365431645005602116100054321442040660261425442454455543522224614202461220456451056106005521640163635463036033
132, 5.400100, 265434260360116532515463101244616521466012505166000126110266600303065366204123133416230146520452411214236625362633123215411625245465025365455344203502066135054521440020660261424402454455543512224114503431226456451155406005521640163635463036663
133, 5.100100, 265434260360116532515463101244616521066012505166000126110266600303065366204123133416230146060436211214236625662633223215411625245265026365455345405602016103054321442640660261424402454455543512224114502431226456451353130505325640163066163036030
134, 5.300100, 265423260310312133005406101244616521466012505166000126110266600303065366204123133416230146520422411214236625362633123215411625245465025365455344203502066135054521440020660261425402454455543552224614202461220456451353104505325640163635463036633
135, 5.100100, 265423260310312133005406633214616523466012162166200126110266600303065366204123133415230146020201211214236655162633123215411621245265026365455345205602014103054321442640660261425402454455543512224114502411220456451353102505325640163066163036030
