generation, fitness, rule
132, 53.110096, 352255265101351135054124002140354515353650212155653355252045105452520302603412026652256531606350101441456156213133112462306060000443521642050614464121500341455240251251461120445022250251051153156160553504321254154201455654601110405102046615063
133, 63.690098, 352255265101351035054624022650354543653654202153653345212245121251540302513415026156453531235350101441426156013100112062306060415215521522052131151151503661055244251256461120440022240251351153156160553504323254154243620363345115054502046615056
134, 62.250099, 352255235136351055054224000140354515353650212155653355252042240252522341613443260066202631206350101442456116213130112362306064065215311222022604660511502641155240250256461120445022250251051153156160553500321250253543120365630160432132060225063
135, 72.780098, 352255264136351035054124022650354543653654202155653345212245121251540302513415026156453531235350101441426156013100112062306064065215311222022604660511502660455041251251464161440022240251351153156160553504323254153201455655601115054502046615066
136, 58.140099, 352255265101351036054624022650354543651654202153653345212245521254541302513415026156453531235350101441426156013100612132506060465343321642020614464151503661055244251256461120445022250251351153156160553504321250253543120333344165025502046615066
137, 68.570099, 352255264136351035054124022650354515353654202153653345212245105452540302603412026652256531606350601641452233214251611032606060000241512242050614464151503661055044251256461120445022250251351153156160553504326250253543120333344165025502046615066
138, 71.430099, 352055265101351135054124050154354516653654262155653355252045105255520302623415426344156132605606354152116556213100162032306360000245331522052101151551503661055140251250564120460022240251351153156160653504324250253201450653344165025502046615066
139, 79.940094, 352055265101351335054124050150354543651654202153653345212245121254541302513415026156453531335350101441426156013100612132506063465243321640050614464151503661055244251256461120445002250251351153156146553500321256154562010425606135025502046615036
140, 85.010101, 352255264133351335054124050154354516653654262153653345212245521254541302513415026156453531235350101441426156013100612132506060465343321642020644464151503661055244251256461120445022250251051153156160553500321250154243023363344110405113613616636
141, 92.340096, 352055265101351335054124050150354543651654202153653345212245121254541302513415026156453531335350101441426156013100612132506063465243324640050614464151503661055244251256461120445002250251351153156140553500321250154243023363344110405113613616636
142, 94.290100, 352055265101351135054224050154354516653654262155653355152045105252525362603412026652256531606356111441426156013100632132506060465243321642050614464151503661055241254256461120442022250251451153156166553500324256153543120333344165025502066615056
143, 100.310097, 352255265136351335054124050154354516653654262155655345212245105252520362653445120042456531640411645643252154613130112332306060066215121222564623660166502661055244251256461120445022250251051153156160553504326250253543120333344165025502046615066
144, 91.150101, 352055265101351335054124050150354543653650212155653355252045140252522354653443263066202635206350101445453156213143112262306360000215334642050614464151503661055241254254461120442022250251051153156160553505321254154241055655601115054502046615066
145, 98.780098, 352655265101351335054124050154354514653654262155653355252045105255520302623415426344156132605606354152116556213130112032306260020203335540050614464121500341455240251251461220445022240251341153156160553504321250154243020333344110405112522616636
146, 108.020096, 352355265101351135054124050154354516653654262155653355052045105252525362603412026652251531606356101411456156213133112462306360000245334522564623660066502461455240251255461120415022250251051153156160553504321250154243020333344365025502046615066
147, 103.760101, 352055265101351335054124050150354543652650212155653355252045040252522354653443263066202635306350101445453156213143112262306360000215334642050614464151503661055241254254461120442022250251351153156140553503321253154243023363344110405133613616666
148, 101.590096, 352355265136351055054424000150354515353650212155653355252045140252525362603412025652250501606356101411456156215133116632306660100245334542002603660166502651455240251256411120445022250250351153156160553501251250253543120363340110405112532615066
149, 111.330101, 352355265101351135054124050154354516653654262155653355052045105252525362603412026652251531606356101641452233214251611032602060000243524642050614464151503562055244251256461120445022250251341152156160553504321250154243020303344110405112522615066
150, 126.050095, 352255265336351335054124050154351316653654262153653355052045105252525362603412026652250531606356101411456156215133611032605060000243521502252131151551005661155240251256411120445022250251351153156160553504321250154243020333344365025502046615066
151, 127.200096, 352255265136351055054424000150354515353654202153253355252045105252522344653013260066202631205000665641016154444200112362206064065265311222050614464151503661055241254254461120442022250251351153156140553404321250154245020333312113055152513265063
152, 131.610092, 352355265136351055054424000150354515353650212155653343214245121254522344653443263064156132655606354152116556213100162032306160066215321222564626464451503661055044251256461120445022250251311153156160553504326250252523125655601115054502066415066
